Original_Value,Mapped_Note,Original_Velocity,Mapped_Velocity,Original_Duration,Mapped_Duration
99.35784077,G4,860,33.24130512728576,-9.336486843,1.0
2.761058562,A#4,1294,53.003944065973464,10.48372233,3.1540377170381553
407.7307142,C4,1130,45.5360344209394,-0.940168992,1.9125022434138739
353.4286719,D4,1095,43.94227321620652,15.80691162,3.7325558550411353
364.503584,D4,1638,68.66833990677662,-3.02534284,1.68588792890441
385.6351733,D4,2169,92.84797418429545,17.63750952,3.931503146006279
37.02232587,A4,466,15.30010756543564,5.469413852,2.609088393234357
179.2328643,F4,1238,50.45392613840086,27.46919955,5.0
57.93452976,A4,330,9.107206884187882,-4.499162234,1.5257149188686236
431.5517129,C4,1482,61.564718537110075,3.642654042,2.410558221510954
311.6490634,D4,2135,91.2997490139835,-5.46105915,1.4211770596118605
165.4490124,G4,2919,127.0,26.98774473,4.947676039527243
31.77917514,A4,130,0.0,25.09357414,4.741819741152627
